Local;Local sem codigo;Endereço;Latitude;Longitude
3328 - CEEP - CENTRO DE ENSINO EMPREENDEDOR DO PARÁ;CEEP - CENTRO DE ENSINO EMPREENDEDOR DO PARÁ;293, R. Belém, 173 - Coqueiro, Belém - PA, 66823-390;-1.329052;-48.447327
3000 - EEEFM DONA HELENA GUILHON;EEEFM DONA HELENA GUILHON;Tv. We-5, S/N - Cj Satélite, Belém - PA, 66670-410;-1.343270;-48.447649
3018 - EEEF ARIRI;EEEF ARIRI;Rod. Mario Covas, Passagem Monte Sinai, 50 - Coqueiro, Belém - PA, 67010-450;-1.351480;-48.433527
3026 - EEEFM PROF. NAGIB COELHO MATNI;EEEFM PROF. NAGIB COELHO MATNI;Conj Ariri Av. Central Qd 25, Prx A Cosampa, 550 - Coqueiro, Belém - PA, 66650-520;-1.352219;-48.438751
3034 - CIAM SIDERAL;CIAM SIDERAL;Av. Central, 262-304 - Coqueiro, Belém - PA, 66650-520;-1.354048;-48.439526
3042 - CRC- CENTRO DE RECUPERAÇÃO DO COQUEIRO;CRC- CENTRO DE RECUPERAÇÃO DO COQUEIRO;R. Sn-1, 53-101 - Coqueiro, Belém - PA, 66842-320;-1.345453;-48.449024
3050 - EMEF JOÃO FARIAS DE LIMA;EMEF JOÃO FARIAS DE LIMA;Avenida Das Andorinhas, Cj Benjamim Sodre, 150 - Parque Verde, Belém - PA, 66635-240;-1.359160;-48.447457
3069 - EEEF PEDRO MARQUES DE MESQUITA;EEEF PEDRO MARQUES DE MESQUITA;R. Sideral, 101 - Quadra 01 - Parque Verde, Belém - PA, 66635-500;-1.356370;-48.445664
3077 - SISTEMA EDUCACIONAL PEQUENO PRINCIPE;SISTEMA EDUCACIONAL PEQUENO PRINCIPE;Av. Augusto Montenegro, 3649 - Km 7 - Parque Verde, Belém - PA, 66640-000;-1.359338;-48.452596
3085 - EMEIF FLORESTAN FERNANDEZ;EMEIF FLORESTAN FERNANDEZ;Passagem Srg. Getúlio, 91 - Bengui, Belém - PA, 66635-815;-1.369222;-48.455209
3093 - EEEF JARDIM SIDERAL;EEEF JARDIM SIDERAL;R. Satélite, 36/38 - Jardim Sideral, Belém - PA, 66635-510;-1.356507;-48.450813
3107 - EEEFM RAYMUNDO MARTINS VIANNA;EEEFM RAYMUNDO MARTINS VIANNA;Av. Augusto Montenegro, KM 04 - Parque Verde, Belém - PA, 66645-590;-1.367975;-48.446248
3115 - EMEIF MARIA AMORAS DE OLIVEIRA;EMEIF MARIA AMORAS DE OLIVEIRA;Rua São Pedro, 56 - Bengui, Belém - PA, 66630-130;-1.372506;-48.455293
3310 - EMEI GILVANIA MARCIA BARROS DA SILVA;EMEI GILVANIA MARCIA BARROS DA SILVA;Val de Caes, Belém - PA, 66643-105;-1.370665;-48.464561
3131 - ERC ASSOCIAÇÃO CRISTÃ DO BENGUI;ERC ASSOCIAÇÃO CRISTÃ DO BENGUI;Rua São Pedro N. 50 - Esquina Com Rua Ajax de Oliveira - Bengui, Belém - PA;-1.372975;-48.432141
3140 - EMEIF JOÃO CARLOS BATISTA;EMEIF JOÃO CARLOS BATISTA;Tv. Cristina Cardoso - Cabanagem, Belém - PA, 66625-630;-1.366685;-48.437342
3158 - EEEF JOSÉ VALENTE RIBEIRO;EEEF JOSÉ VALENTE RIBEIRO;Estr. do Benjamin, 3a - Cabanagem, Belém - PA, 66625-430;-1.366530;-48.430097
3166 - EMEIF SILVIO LEANDRO DE MORAES;EMEIF SILVIO LEANDRO DE MORAES;Rod. Mário Covas, S/n - Coqueiro, Belém - PA, 66670-000;-1.360475;-48.427194
3174 - EEEFM CRISTO REDENTOR;EEEFM CRISTO REDENTOR;Rua Dos Comerciarios 108, Rod. Coqueiro, Entre, Estr. do Benjamin, 108 - Coqueiro, Belém - PA, 67115-000;-1.364940;-48.428923
3182 - EEEFM CIDADE DE EMAÚS;EEEFM CIDADE DE EMAÚS;902, R. São Clemente, 802 - Bengui, Belém - PA;-1.371904;-48.463620
3190 - EMEIF AUGUSTO MEIRA FILHO;EMEIF AUGUSTO MEIRA FILHO;R. Lameira Bittencourt, s/n - Bengui, Belém - PA, 66630-010;-1.376805;-48.453010
3204 - EEEFM  MARIA LUIZA DA COSTA REGO;EEEFM  MARIA LUIZA DA COSTA REGO;R. Lameira Bittencourt, Sn - Bengui, Belém - PA, 66630-010;-1.376803;-48.453110
3212 - EEEF MARILDA NUNES;EEEF MARILDA NUNES;Passagem Maciel, Ao Lado Do Centro De Saude, Sn - Bengui, Belém - PA, 66630-140;-1.374380;-48.451276
3220 - EEEF CARLOS DRUMMOND DE ANDRADE;EEEF CARLOS DRUMMOND DE ANDRADE;R. São Paulo, Qd 72 - N 28 - Cabanagem, Belém - PA, 66625-490;-1.372546;-48.433151
3239 - EEEF ALEXANDRE NICOMEDES DA CUNHA;EEEF ALEXANDRE NICOMEDES DA CUNHA;Rua Fe Em Deus Qd 187, Nï¿½ 14, Quadra 187, 14 - Cabanagem, Belém - PA, 66625-760;-1.362052;-48.436964
3247 - EEEFM DILMA DE SOUZA CATTETE;EEEFM DILMA DE SOUZA CATTETE;Conj. Pedro Teixeira I Rua 02, Rua Principal, Sn - Coqueiro, Belém - PA, 66670-330;-1.352770;-48.446861
3255 - EEEFM MARIA GABRIELA RAMOS DE OLIVEIRA;EEEFM MARIA GABRIELA RAMOS DE OLIVEIRA;67 69, Alameda Ns-26, 67 - Coqueiro, Belém - PA;-1.332152;-48.435498
3263 - COLÉGIO EQUIPE CRISTAL;COLÉGIO EQUIPE CRISTAL;Rod. Des. Paulo Frota, 1400 - Bengui, Belém - PA;-1.388452;-48.468515
3301 - EEEF WALDOMIRO RODRIGUES DE OLIVEIRA;EEEF WALDOMIRO RODRIGUES DE OLIVEIRA;R. São Bento, 02 - Bengui, Belém - PA, 66630-030;-1.378396;-48.462249
3298 - FEAPA - FACULDADE DE ESTUDOS AVANÇADOS DO PARA;FEAPA - FACULDADE DE ESTUDOS AVANÇADOS DO PARA;Av. Augusto Montenegro, 4120 - Km 04 - Parque Verde, Belém - PA, 66625-630;-1.370892;-48.444447
3352 - ESCOLA BOSQUE - CARLOS VINAGRE;ESCOLA BOSQUE - CARLOS VINAGRE;Estr. do Benjamin, 93 - Mangueirão, Belém - PA, 66650-450;-1.376769;-48.429846
3344 - EEEFM MAESTRO WALDEMAR HENRIQUE (CAIC);EEEFM MAESTRO WALDEMAR HENRIQUE (CAIC);Av. Mangueirão - Mangueirão, Belém - PA;-1.380855;-48.453249
1465 - EMEIF AMÂNCIA PANTOJA;EMEIF AMÂNCIA PANTOJA;69, Passagem Cruzeiro, 31 - Fátima, Belém - PA;-1.442877;-48.471141
1473 - CRECHE IRMÃ DULCE;CRECHE IRMÃ DULCE;Fátima, Belém - PA, 66060-110;-1.442618;-48.471370
1481 - ESCOLA SUPERIOR DE EDUCAÇÃO FÍSICA;ESCOLA SUPERIOR DE EDUCAÇÃO FÍSICA;Tv. Vileta, 2924 - Marco, Belém - PA, 66095-740;-1.442987;-48.457735
1490 - EEEFM VISCONDE DE SOUZA FRANCO;EEEFM VISCONDE DE SOUZA FRANCO;Av. Alm. Barroso, 1150 - Marco, Belém - PA, 66095-000;-1.440059;-48.460880
1503 - CENTRO DIESEL DA AMAZONIA;CENTRO DIESEL DA AMAZONIA;Trav. Mauriti Com 1 de Dezembro , S/n, Marco, Belém - PA, 66095-000;-1.436143;-48.459972
1511 - EEEFM D. PEDRO II;EEEFM D. PEDRO II;Tv. Lomas Valentinas, 2140 - Marco, Belém - PA, 66087-440;-1.432262;-48.457846
1520 - INSTITUTO FEDERAL DO PARA - IFPA;INSTITUTO FEDERAL DO PARA - IFPA;Av. Alm. Barroso, 1155 - Marco, Belém - PA, 66093-020;-1.438532;-48.460169
1538 - EMEIF ALZIRA PERNAMBUCO;EMEIF ALZIRA PERNAMBUCO;Tv. Perebebuí, 1995 - Marco, Belém - PA, 66087-661;-1.425183;-48.460231
1546 - SENAI - ESCOLA GETÚLIO VARGAS;SENAI - ESCOLA GETÚLIO VARGAS;Tv. Barão do Triunfo, 2806 - Marco, Belém - PA, 66093-050;-1.432560;-48.462747
1554 - COLÉGIO PHYSICS (ANTIGO COLÉGIO IPIRANGA);COLÉGIO PHYSICS (ANTIGO COLÉGIO IPIRANGA);Av. Alm. Barroso, 777 - São Brás, Belém - PA, 66093-020;-1.442210;-48.462603
1562 - EEEFM JARBAS PASSARINHO;EEEFM JARBAS PASSARINHO;Av. Rômulo Maiorana, 2309 - Marco, Belém - PA, 66093-605;-1.428448;-48.457226
1570 - EEEFM LAURO SODRÉ;EEEFM LAURO SODRÉ;Tv. Pirajá - Marco, Belém - PA, 66085-632;-1.426133;-48.461547
1589 - UNAMEA-UNIÃO AMAZÔNIDA DE EDUCAÇÃO E ASSISTÊNCIA;UNAMEA-UNIÃO AMAZÔNIDA DE EDUCAÇÃO E ASSISTÊNCIA;205, Tv. Humaitá, 147 - Marco, Belém - PA;-1.445861;-48.456052
1597 - EEEFM PAULINO DE BRITO;EEEFM PAULINO DE BRITO;Av Almirante Barroso, 589, Entre Chaco E, Tv. Curuzú, 589 - Marco, Belém - PA, 66093-020;-1.443736;-48.463605
1600 - CENTRO DE CIÊNCIAS NATURAIS E TECNOLOGIA DA UEPA;CENTRO DE CIÊNCIAS NATURAIS E TECNOLOGIA DA UEPA;Tv. Dr. Enéas Pinheiro, 2626 - Marco, Belém - PA, 66095-015;-1.434505;-48.451734
1619 - COLÉGIO ALFA;COLÉGIO ALFA;Av. João Paulo II, 322 - Marco, Belém - PA, 66095-285;-1.445326;-48.460614
1635 - COLÉGIO NOSSA SENHORA DE NAZARÉ;COLÉGIO NOSSA SENHORA DE NAZARÉ;Av. Nª Sra. de Nazaré, 902 - Nazaré, Belém - PA, 66040-143;-1.452213;-48.485370
1643 - INSTITUTO ESTADUAL CARLOS GOMES;INSTITUTO ESTADUAL CARLOS GOMES;Av. Gentil Bitencourt, 977 - Nazaré, Belém - PA, 66040-174;-1.455436;-48.483925
1651 - EEEM ORLANDO BITTAR;EEEM ORLANDO BITTAR;Av Gov Jose Malcher, Entre Doca De Souza Franco E, Tv. Quintino Bocaiúva, 793 - Nazaré, Belém - PA, 66055-260;-1.451084;-48.486676
1660 - COLÉGIO GENTIL BITTENCOURT;COLÉGIO GENTIL BITTENCOURT;Av. Gov Magalhães Barata, 137 - Nazaré, Belém - PA, 66035-170;-1.452135;-48.479650
1678 - EGPA - ESCOLA DE GOVERNANÇA PÚBLICA DO ESTADO DO PARÁ (ANTIGO CIG);EGPA - ESCOLA DE GOVERNANÇA PÚBLICA DO ESTADO DO PARÁ (ANTIGO CIG);Av. Gov. José Malcher, 900 - Nazaré, Belém - PA, 66055-260;-1.450751;-48.485500
1686 - INSTITUTO ADVENTISTA GRÃO PARA;INSTITUTO ADVENTISTA GRÃO PARA;Tv. Barão do Triunfo, 3577 - Marco, Belém - PA, 66095-050;-1.436563;-48.456655
1694 - SESI INDÚSTRIA SAUDÁVEL;SESI INDÚSTRIA SAUDÁVEL;Av. João Paulo II, 1267 - Marco, Belém - PA, 66095-493;-1.437705;-48.455777
1708 - FACULDADE UNINASSAU - ANTIGO COLÉGIO MODERNO;FACULDADE UNINASSAU - ANTIGO COLÉGIO MODERNO;Tv. Quintino Bocaiúva, 1808 - Nazaré, Belém - PA, 66035-190;-1.455763;-48.486042
1716 - EEEFM BARÃO DO RIO BRANCO;EEEFM BARÃO DO RIO BRANCO;Av. Generalíssimo Deodoro, 1464 - Nazaré, Belém - PA, 66035-190;-1.453749;-48.482876
1724 - EEEFM DEODORO DE MENDONÇA;EEEFM DEODORO DE MENDONÇA;Av. Gov. José Malcher, 1622 - Nazaré, Belém - PA, 66030-320;-1.449014;-48.479618
1740 - EEEF PINTO MARQUES;EEEF PINTO MARQUES;Av. Gov. José Malcher, 861 - Nazaré, Belém - PA, 66055-260;-1.450863;-48.485968
1759 - COLÉGIO SANTA CATARINA DE SENA;COLÉGIO SANTA CATARINA DE SENA;Av. Nª Sra. de Nazaré, 1016 - Nazaré, Belém - PA, 66035-145;-1.452230;-48.483715
1015 - EEEIF PROFA. EMILIANA SARMENTO FERREIRA;EEEIF PROFA. EMILIANA SARMENTO FERREIRA;Esquina Com Marques - Av. Doutor Freitas, 1472 - Sacramenta, Belém - PA, 66087-810;-1.418413;-48.461698
1023 - EEEFM PROFA. GRAZIELA MOURA RIBEIRO;EEEFM PROFA. GRAZIELA MOURA RIBEIRO;Tv. Alferes Costa, 100 - Sacramenta, Belém - PA, 66123-030;-1.415862;-48.471494
1031 - EEEF PROFA. DONATILA SANTANA LOPES;EEEF PROFA. DONATILA SANTANA LOPES;Tv. Mauriti, 1797 - Pedreira, Belém - PA, 66093-180;-1.430959;-48.467723
1040 - EEEFM  DR. JUSTO CHERMONT;EEEFM  DR. JUSTO CHERMONT;Tv Vileta, Esquina Com A, Av. Pedro Miranda, 916 - Pedreira, Belém - PA, 66087-422;-1.431985;-48.474185
1163 - INSTITUTO 15 DE AGOSTO S/S LTDA;INSTITUTO 15 DE AGOSTO S/S LTDA;Conj. Humaitá - Pedreira, Belém - PA, 66085-220;-1.433871;-48.474092
1066 - EMEF JOSINO VIANA;EMEF JOSINO VIANA;Tv. Lomas Valentinas - Pedreira, Belém - PA, 66080-322;-1.424173;-48.469434
1341 - COLÉGIO NOSSA SENHORA DO PERPÉTUO SOCORRO;COLÉGIO NOSSA SENHORA DO PERPÉTUO SOCORRO;Av. Marquês de Herval, N° 1467 - Pedreira, Belém - PA, 66080-035;-1.426449;-48.467389
1074 - EEEF MAROJA NETO;EEEF MAROJA NETO;Av. Pedro Miranda, 444 - Pedreira, Belém - PA, 66085-005;-1.434839;-48.476492
1082 - EMEF PALMIRA DE OLIVEIRA GABRIEL;EMEF PALMIRA DE OLIVEIRA GABRIEL;Tv. Timbó, 681 - Pedreira, Belém - PA, 66087-532;-1.428471;-48.476836
1317 - CENTRO EDUCACIONAL IKETANI E LIBONATI;CENTRO EDUCACIONAL IKETANI E LIBONATI;Av. Pedro Miranda, 827 - Pedreira, Belém - PA, 66085-022;-1.431433;-48.474536
1090 - EMEIF ALMERINDO TRINDADE;EMEIF ALMERINDO TRINDADE;R. do Acampamento, 276 - Pedreira, Belém - PA, 66083-030;-1.429423;-48.479480
1104 - EEEFM  RODRIGUES PINAGÉ;EEEFM  RODRIGUES PINAGÉ;Tv. do Chaco, 1055 - Pedreira, Belém - PA, 66085-451;-1.436750;-48.472475
1112 - ERCEF CENTRO EDUC. E TÉCNICO APARECIDA;ERCEF CENTRO EDUC. E TÉCNICO APARECIDA;Av. Pedro Miranda, 1566 - Pedreira, Belém - PA, 66085-023;-1.426682;-48.471092
1120 - ERCEF SALESIANO DO TRABALHO;ERCEF SALESIANO DO TRABALHO;Entrada Pela - Av Pedro Miranda, Tv. Alferes Costa, 2403 - Pedreira, Belém - PA, 66083-109;-1.418612;-48.467411
1139 - ERCEF CENTRO SOCIAL AUXILIUM;ERCEF CENTRO SOCIAL AUXILIUM;Pass Nsra, Passagem Maria Auxiliadora, 2563 - Pedreira, Belém - PA, 66080-195;-1.418636;-48.466436
1309 - COLÉGIO SUCESSO;COLÉGIO SUCESSO;Av. Pedro Miranda, 1984 - Pedreira, Belém - PA, 66085-024;-1.423348;-48.468878
1155 - SOCIEDADE BENEFICENTE SPORT ALEGRIA;SOCIEDADE BENEFICENTE SPORT ALEGRIA;Av. Marquês de Herval, 156 - Pedreira, Belém - PA, 66085-314;-1.437951;-48.474778
1171 - EEEFM BENJAMIN CONSTANT;EEEFM BENJAMIN CONSTANT;Trav Benjamin Constant, 497, Esq, R. Sen. Manoel Barata, 497 - Reduto, Belém - PA, 66053-040;-1.447410;-48.492988
1180 - FUNASA - FUNDAÇÃO NACIONAL DE SAÚDE;FUNASA - FUNDAÇÃO NACIONAL DE SAÚDE;Av. Visc. de Souza Franco, 616 - Reduto, Belém - PA, 66053-000;-1.444112;-48.490059
1198 - INSTITUTO DE CIÊNCIAS DA SAÚDE (ANTIGA FACULDADE DE MEDICINA);INSTITUTO DE CIÊNCIAS DA SAÚDE (ANTIGA FACULDADE DE MEDICINA);Av. Generalíssimo Deodoro, 01 - Umarizal, Belém - PA, 66050-160;-1.440375;-48.482891
1201 - CENTRO EDUCACIONAL OLIMPUS VESTIBULARES;CENTRO EDUCACIONAL OLIMPUS VESTIBULARES;Av. Alcindo Cacela, 675 - Umarizal, Belém - PA, 66060-000;-1.442595;-48.478440
1210 - UNAMA - UNIVERSIDADE DA AMAZÔNIA;UNAMA - UNIVERSIDADE DA AMAZÔNIA;Av. Alcindo Cacela, 287 - Umarizal, Belém - PA, 66060-902;-1.438746;-48.478838
1236 - ESCOLA TECNOLÓGICA PROF ANÍSIO TEIXEIRA;ESCOLA TECNOLÓGICA PROF ANÍSIO TEIXEIRA;Tv. Dom Pedro I, Entre Pedro A Cabral E, R. Municipalidade, 320 - Umarizal, Belém - PA, 66050-100;-1.436226;-48.490291
1244 - INSTITUTO DOM BOSCO;INSTITUTO DOM BOSCO;Tv. Benjamin Constant, 634 - Reduto, Belém - PA, 66053-040;-1.448465;-48.492204
1252 - ESCOLA APAE BELÉM;ESCOLA APAE BELÉM;Av. Alcindo Cacela, 465 - Umarizal, Belém - PA, 66060-000;-1.440621;-48.478636
1260 - EEEFM DR FREITAS;EEEFM DR FREITAS;Av. Generalíssimo Deodoro, 220, , 220 - Umarizal, Belém - PA, 66055-240;-1.442330;-48.482865
1325 - INSTITUTO FELIPE SMALDONE;INSTITUTO FELIPE SMALDONE;Tv. 14 de Março, 854 - Umarizal, Belém - PA, 66055-490;-1.442681;-48.480600
1287 - ERCEIF SÃO VICENTE DE PAULO;ERCEIF SÃO VICENTE DE PAULO;R. Municipalidade, 1568 - Umarizal, Belém - PA, 66113-005;-1.432832;-48.487282
1104 - EMEF ERNESTINA RODRIGUES;EMEF ERNESTINA RODRIGUES;Passagem Alberto Engelhard, 286 - São Brás, Belém - PA, 66040-130;-1.450991;-48.476420
1210 - SISTEMA DE ENSINO UNIVERSO;SISTEMA DE ENSINO UNIVERSO;R. dos Mundurucus, 4010 - Guamá, Belém - PA, 66063-495;-1.457471;-48.469878
1139 - ASSOCIAÇÃO BERÇO DE BELÉM;ASSOCIAÇÃO BERÇO DE BELÉM;Av. José Bonifácio, 893 - Guamá, Belém - PA, 66063-075;-1.452974;-48.468967
1147 - EEEFM AUGUSTO MEIRA;EEEFM AUGUSTO MEIRA;Esquina Com A - Avenida Jose Bonifacio, Av. Gentil Bitencourt, 799 - São Brás, Belém - PA, 66063-075;-1.454205;-48.468950
1155 - EMEF PROFA BENVINDA DE FRANÇA MESSIAS;EMEF PROFA BENVINDA DE FRANÇA MESSIAS;Alameda Duzentos e Quarenta e Um - São Brás, Belém - PA, 66090-000;-1.450692;-48.468494
1163 - EEEFM VILHENA ALVES;EEEFM VILHENA ALVES;Av Magalhaes Barata, Esquina Com A, Tv. Três de Maio, 698 - São Brás, Belém - PA, 66060-281;-1.451807;-48.474374
1228 - CENTRO SOCIAL DA PARÓQUIA DE SÃO MIGUEL ARCANJO;CENTRO SOCIAL DA PARÓQUIA DE SÃO MIGUEL ARCANJO;Av. Alcindo Cacela, 2984 - Cremação, Belém - PA, 66065-020;-1.462976;-48.476738
1368 - EEEF JOSÉ BONIFÁCIO;EEEF JOSÉ BONIFÁCIO;Tv. 14 de Abril, 2039 - Fátima, Belém - PA, 66063-475;-1.457999;-48.472167
1236 - EEEFM AMÍLCAR ALVES TUPIASSU;EEEFM AMÍLCAR ALVES TUPIASSU;Rua Eng Fernando Guilhon S/N - Entre Tv 14 de Março e Av Alcindo Cacela - Cremação, Belém - PA;-1.463078;-48.480155
1244 - EEEF PROF JOÃO RENATO FRANCO;EEEF PROF JOÃO RENATO FRANCO;R. dos Pariquis - Cremação, Belém - PA, 66033-590;-1.459285;-48.476118
1252 - EEEF STÉLIO MAROJA;EEEF STÉLIO MAROJA;Tv. Nove de Janeiro, 2603 - Condor, Belém - PA, 66065-155;-1.462710;-48.475119
1260 - EEEF DR MÁRIO CHERMONT;EEEF DR MÁRIO CHERMONT;Av. Alcindo Cacela, 2565 - Cremação, Belém - PA, 66065-205;-1.459577;-48.477042
1279 - UEI - UNIDADE DE ENSINO FUNDAMENTAL DA CREMAÇÃO (CRECHE);UEI - UNIDADE DE ENSINO FUNDAMENTAL DA CREMAÇÃO (CRECHE);Tv Dr Moraes entre CARIPUNAS e, R. dos Pariquis, PA;-1.460796;-48.486284
1350 - EEEF PROFª NORMA MORHY;EEEF PROFª NORMA MORHY;Passagem Batista, 2 - Cremação, Belém - PA, 66045-120;-1.461327;-48.482251
1376 - EEEFM ACÁCIO FELÍCIO SOBRAL;EEEFM ACÁCIO FELÍCIO SOBRAL;Tv. Juvenal Cordeiro - Canudos, Belém - PA, 66070-300;-1.452482;-48.457453
1384 - EEEIF RUTH PASSARINHO;EEEIF RUTH PASSARINHO;Passagem Tôrres - Marco, Belém - PA, 66610-730;-1.432355;-48.448216
1392 - EMEIF SOLERNO MOREIRA;EMEIF SOLERNO MOREIRA;Passagem Universal, 127 - Terra Firme, Belém - PA, 66079-510;-1.462967;-48.448327
1406 - EEEFM MÁRIO BARBOSA;EEEFM MÁRIO BARBOSA;Av. Perimetral, s/n - Universitário, Belém - PA, 66079-005;-1.452990;-48.446493
1414 - NPI - NÚCLEO PEDAGÓGICO INTEGRADO DA UFPA;NPI - NÚCLEO PEDAGÓGICO INTEGRADO DA UFPA;Av. Perimetral, 1000 - Terra Firme, Belém - PA, 66095-780;-1.446140;-48.447116
1422 - EEEF BRIGADEIRO FONTENELE;EEEF BRIGADEIRO FONTENELE;R. São Domingos, 511 - Terra Firme, Belém - PA, 66077-650;-1.454909;-48.450017
1430 - EEEF MATEUS DO CARMO;EEEF MATEUS DO CARMO;Passagem São João, 128 - Terra Firme, Belém - PA, 66079-790;-1.453311;-48.448234
1449 - EM MARIA ESTELLINA VALMONT;EM MARIA ESTELLINA VALMONT;Passagem Vitória, 423 - Terra Firme, Belém - PA, 66077-160;-1.456219;-48.448287
1457 - ESCOLA ADVENTISTA DO 1 GRAU ALTAMIR DE PAIVA;ESCOLA ADVENTISTA DO 1 GRAU ALTAMIR DE PAIVA;Tv. Nina Ribeiro, 59 - Canudos, Belém - PA, 66070-350;-1.448457;-48.464550
1465 - ESCOLA PAROQUIAL SÃO JOSÉ DE QUELUZ;ESCOLA PAROQUIAL SÃO JOSÉ DE QUELUZ;Av. Cipriano Santos - Canudos, Belém - PA, 66090-340;-1.449486;-48.463487
1473 - EEEF PROFESSORA ANÉSIA;EEEF PROFESSORA ANÉSIA;Av. Alm. Barroso, 2226 - Curió Utinga, Belém - PA, 66610-211;-1.425754;-48.451464
1503 - EEEFM DR CELSO MALCHER;EEEFM DR CELSO MALCHER;Terra Firme, Belém - PA;-1.461871;-48.441764
1490 - UEES PROFESSOR ASTÉRIO DE CAMPOS;UEES PROFESSOR ASTÉRIO DE CAMPOS;Av. Alm. Barroso, 2226 - Souza, Belém - PA, 66613-710;-1.425887;-48.451104
1520 - EMEF PROFA MANUELA FREITAS;EMEF PROFA MANUELA FREITAS;Av. Gentil Bitencourt, 2822 - São Brás, Belém - PA, 66035-340;-1.454514;-48.467274
1538 - EEEFM AUGUSTO OLÍMPIO;EEEFM AUGUSTO OLÍMPIO;Av. Ceará, 595 - Canudos, Belém - PA, 66070-080;-1.447547;-48.459726
1015 - CENTRO COMUNITÁRIO ESTRADA NOVA;CENTRO COMUNITÁRIO ESTRADA NOVA;Estr. do Buiussuquara, 15 - Curió-Utinga, Belém - PA, 68447-000;-1.427212;-48.442265
1023 - EEEF PAULO FONTELES DE LIMA;EEEF PAULO FONTELES DE LIMA;Passagem São José, s/n - Icoaraci, Belém - PA, 66816-460;-1.362917;-48.472433
1031 - EEEF EUNICE WEAVER;EEEF EUNICE WEAVER;R. de Capricórnio, S/N - Icoaraci, Belém - PA, 66115-000;-1.376913;-48.477839
1040 - EEEF NOSSA SENHORA DO CARMO;EEEF NOSSA SENHORA DO CARMO;R. Pres. Castelo Branco, 244-602 - Tapanã (Icoaraci), Belém - PA, 66825-070;-1.344157;-48.473131
1058 - EEEFM EDVALDO BRANDÃO;EEEFM EDVALDO BRANDÃO;547, R. Bebedouro, 443 - Tapanã (Icoaraci), Belém - PA;-1.343448;-48.458538
1066 - EEEF PROFESSORA MARIA HELOISA DE CASTRO;EEEF PROFESSORA MARIA HELOISA DE CASTRO;Rod. do Tapanã, 15A - Tapanã (Icoaraci), Belém - PA, 66825-230;-1.330497;-48.471906
1074 - EEEFM DR ALDEBARO CAVALEIRO DE MACEDO KLAUTAU;EEEFM DR ALDEBARO CAVALEIRO DE MACEDO KLAUTAU;Alameda Seis, s/n - Tapanã (Icoaraci), Belém - PA, 66833-060;-1.349754;-48.463791
1082 - EEEF AMÉRICO SOUZA DE OLIVEIRA;EEEF AMÉRICO SOUZA DE OLIVEIRA;Alameda Sete de Setembro, 2 - Tapanã (Icoaraci), Belém - PA, 66013-070;-1.352091;-48.460694
1090 - EEEF GABRIEL LAGE DA SILVA;EEEF GABRIEL LAGE DA SILVA;R. Quintino, 12 - Tapanã (Icoaraci), Belém - PA, 66830-130;-1.348556;-48.469421
1350 - EEEM DR. JOSÉ MÁRCIO AYRES;EEEM DR. JOSÉ MÁRCIO AYRES;Rod. do Tapanã - Tapanã (Icoaraci), Belém - PA, 66825-010;-1.332566;-48.469341
1112 - EMEF CORDOLINA FONTELES DE LIMA;EMEF CORDOLINA FONTELES DE LIMA;137, Passagem São Vicente, 105 - Pratinha (Icoaraci), Belém - PA;-1.357744;-48.474903
1120 - CLUBE DE MÃES NOSSA SENHORA APARECIDA;CLUBE DE MÃES NOSSA SENHORA APARECIDA;R. Independência, 1 - Tapanã (Icoaraci), Belém - PA, 66840-005;-1.262396;-48.464923
1368 - EEEMEF PRATINHA II;EEEMEF PRATINHA II;Rod. Arthur Bernardes, 225 - Pratinha II, Belém - PA;-1.363062;-48.476108
1376 - EEEF CANARINHO;EEEF CANARINHO;R. Treze de Agosto - Parque Guajará, Belém - PA, 66821-065;-1.335808;-48.458501
1414 - UNIDADE PEDAGÓGICA PASSO A PASSO;UNIDADE PEDAGÓGICA PASSO A PASSO;R. Vitoria Regia, 98 - Tapanã (Icoaraci), Belém - PA, 66800-000;-1.329749;-48.473585
1406 - EEEFM PADRE FRANCISCO BERTON;EEEFM PADRE FRANCISCO BERTON;R. São Clemente, 127 - Tapanã (Icoaraci), Belém - PA, 66830-720;-1.347229;-48.467178
1457 - ESCOLA PROFª ALDA EUTROPIO DE SOUZA;ESCOLA PROFª ALDA EUTROPIO DE SOUZA;Alameda Sucupira, 40 - Tapanã (Icoaraci), Belém - PA, 66830-680;-1.357733;-48.465486
1481 - ESCOLA MUNICIPAL NOVA ALIANÇA;ESCOLA MUNICIPAL NOVA ALIANÇA;Passagem Profeta Isaías, 216 - Pratinha (Icoaraci), Belém - PA, 66816-250;-1.368261;-48.470509
1511 - EEEM PROFESSOR MANOEL LEITE CARNEIRO;EEEM PROFESSOR MANOEL LEITE CARNEIRO;Tv. WE 04, 97-149 - Tenoné, Belém - PA, 66820-185;-1.320081;-48.434349
1520 - EEEF  PROF ODETE MARVAO;EEEF  PROF ODETE MARVAO;Passagem Oliveira, 31 - Águas Negras (Icoaraci), Belém - PA, 66822-270;-1.306972;-48.457308
1538 - SERVIÇO SOCIAL DE TRANSPORTE - SEST/SENAT;SERVIÇO SOCIAL DE TRANSPORTE - SEST/SENAT;Av. Augusto Montenegro, 765 - Águas Negras, Belém - PA, 66822-000;-1.304672;-48.463585
