Local;Local sem codigo;Endereço;Latitude;Longitude
1023 - EEEFM  VERA SIMPLICIO;EEEFM  VERA SIMPLICIO;R. do Úna, S/N - Telégrafo, Belém - PA, 66645-745;-1.431389;-48.488876
1031 - ESCOLA TÉCNICA ESTADUAL DO PARÁ;ESCOLA TÉCNICA ESTADUAL DO PARÁ;R. Municipalidade, Sn - Telégrafo, Belém - PA, 66050-240;-1.432352;-48.487063
1902 - EEEM MAGALHÃES BARATA;EEEM MAGALHÃES BARATA;Tv. José Pio, 322 - Umarizal, Belém - PA, 66050-350;-1.432636;-48.488458
1040 - EERCF SANTO AFONSO;EERCF SANTO AFONSO;Ao Lado Da Igreja Do Perpetuo Socorro - Rod. Arthur Bernardes, 459 - Telégrafo, Belém - PA, 66115-000;-1.424699;-48.489580
1058 - CENTRO DE CIÊNCIAS SOCIAIS DE EDUCAÇÃO DA UEPA - CAMPUS I;CENTRO DE CIÊNCIAS SOCIAIS DE EDUCAÇÃO DA UEPA - CAMPUS I;Tv. Djalma Dutra, s/n - Telégrafo, Belém - PA, 66050-540;-1.431184;-48.487782
1066 - EMEIF PROF JOÃO NELSON RIBEIRO;EMEIF PROF JOÃO NELSON RIBEIRO;Telégrafo, Belém - PA, 66645-745;-1.424311;-48.485653
1090 - ANATEL - AGÊNCIA NACIONAL DE TELECOMUNICAÇÕES;ANATEL - AGÊNCIA NACIONAL DE TELECOMUNICAÇÕES;Tv. Rosa Moreira, 476 - Telégrafo, Belém - PA, 66113-110;-1.427206;-48.485163
1120 - EEEFM JOSÉ ALVES MAIA;EEEFM JOSÉ ALVES MAIA;Av. Sen. Lemos - Telégrafo, Belém - PA, 66113-000;-1.425429;-48.484156
1198 - EMEF MARIA LUIZA PINTO DO AMARAL;EMEF MARIA LUIZA PINTO DO AMARAL;Passagem Mucajá, s/n - Sacramenta, Belém - PA, 68447-000;-1.413321;-48.467127
1201 - EEEF ROSALINA  ÁLVARES DA S. CRUZ;EEEF ROSALINA  ÁLVARES DA S. CRUZ;Av. Sen. Lemos, 3430 - Sacramenta, Belém - PA, 66113-003;-1.415984;-48.476156
1880 - COLÉGIO NOSSA SENHORA DO PERPÉTUO SOCORRO;COLÉGIO NOSSA SENHORA DO PERPÉTUO SOCORRO;Av. Sen. Lemos, 3316 - Sacramenta, Belém - PA, 66120-000;-1.416492;-48.477624
1228 - EEEIFM SANTA LUZIA;EEEIFM SANTA LUZIA;Trav Perebebui, Av. Sen. Lemos, 492 - Sacramenta, Belém - PA, 66083-661;-1.416422;-48.473375
1252 - ERCEF INSTITUTO CATARINA LABOURÉ;ERCEF INSTITUTO CATARINA LABOURÉ;Av. Sen. Lemos, 3864 - Sacramenta, Belém - PA, 66120-000;-1.415333;-48.473529
1279 - EEEFM PROF ACY DE JESUS NEVES BARROS PEREIRA;EEEFM PROF ACY DE JESUS NEVES BARROS PEREIRA;Passagem Mucajá, 245 - Sacramenta, Belém - PA, 66120-080;-1.411970;-48.468676
1287 - EEEF MÁRIO CARNEIRO;EEEF MÁRIO CARNEIRO;Av. Sen. Lemos, 3601 - Sacramenta, Belém - PA, 66120-000;-1.415643;-48.475106
1856 - EEEIF PROFA ESTHER BANDEIRA GOMES;EEEIF PROFA ESTHER BANDEIRA GOMES;Rua Claudio Bordallo, Esq, R. Teodoro Palmeira, Sn - Sacramenta, Belém - PA, 66123-130;-1.407413;-48.470168
1864 - EMEF PROFA. INÊS DE MENDONÇA MAROJA;EMEF PROFA. INÊS DE MENDONÇA MAROJA;Passagem Nossa Sra. Guia, 795 - Barreiro, Belém - PA, 66117-210;-1.416443;-48.487988
1872 - EMEF COMANDANTE KLAUTAU;EMEF COMANDANTE KLAUTAU;Passagem São Benedito - Sacramenta, Belém - PA, 66117-110;-1.409943;-48.483790
1910 - EEEFM PROF. ANTONIO GOMES MOREIRA JUNIOR;EEEFM PROF. ANTONIO GOMES MOREIRA JUNIOR;R. We-7, 16 - Maracangalha, Belém - PA, 66110-485;-1.405435;-48.482194
1929 - EEEFM JONATHAS PONTES ATHIAS;EEEFM JONATHAS PONTES ATHIAS;R. Vinte e Seis A, 72 - Maracangalha, Belém - PA, 66110-074;-1.399477;-48.482428
1937 - EEEFM PROF RENATO PINHEIRO CONDURU;EEEFM PROF RENATO PINHEIRO CONDURU;R. Vinte e Dois, Quadra 75 - Maracangalha, Belém - PA, 66115;-1.399439;-48.482472
1945 - EEEFM RUY PARATININGA BARATA;EEEFM RUY PARATININGA BARATA;Maracangalha, Belém - PA, 66110-031;-1.407154;-48.482413
1090 - EMEF AMÁLIA PAUNGARTTEN;EMEF AMÁLIA PAUNGARTTEN;494, Passagem Santa Rosa, 400 - Guamá, Belém - PA, 66075-530;-1.473291;-48.467332
1597 - EEEF PAULO MARANHÃO;EEEF PAULO MARANHÃO;Av. José Bonifácio, 1301 - Guamá, Belém - PA, 66063-075;-1.458053;-48.468809
1341 - EEEFM PROFA RUTH R. GONZALEZ;EEEFM PROFA RUTH R. GONZALEZ;R. Paes de Souza - Guamá, Belém - PA, 66060-460;-1.462283;-48.471578
1961 - SISTEMA DE ENSINO UNIVERSO;SISTEMA DE ENSINO UNIVERSO;R. dos Mundurucus, 4010 - Guamá, Belém - PA, 66063-495;-1.457557;-48.469850
1210 - EEEF PROFA CELINA ANGLADA;EEEF PROFA CELINA ANGLADA;Tv. Liberato de Castro, 256 - Guamá, Belém - PA, 66075-420;-1.465419;-48.463272
1791 - UNIVERSIDADE FEDERAL DO PARÁ;UNIVERSIDADE FEDERAL DO PARÁ;R. Augusto Corrêa, 01 - Guamá, Belém - PA, 66075-110;-1.475917;-48.457285
1236 - ERC ROSA GATTORNO;ERC ROSA GATTORNO;R. Augusto Corrêa, 876 - Guamá, Belém - PA, 66073-044;-1.468154;-48.458397
